taxonID	creator	date	title	description	identifier	type
22361738	R.V.Smith	1957		In: Victorian Naturalist 73: 171 (1957)		taxon
22361739	Maslin	1979		In: Nuytsia 2: 359 (1979)		taxon
22361740	Cowan & Maslin	1995		In: Nuytsia 10: 34 (1995)		taxon
22361741	Benth.	1842		In: London J. Bot. 1: 370 (1842)		taxon
22361742	C.R.P.Andrews	1904		In: J. W. Austral. Nat. Hist. Soc. 1: 40 (1904)		taxon
22361743		1912		In: J. Bot. 50: 19 (1912)		taxon
22361744	Pedley & P.Forster	1986		In: Austrobaileya 2: 277, figs 1 & 2 (1986)		taxon
22361745	Benth.	1842		In: London J. Bot. 1: 345 (1842)		taxon
22361746	Maslin	1999		In: Nuytsia 12(3): 343 (1999)		taxon
22361747	Benth.	1842		In: London J. Bot. 1: 360 (1842)		taxon
22361749	Benth.	1855		In: Linnaea 26: 606 (1855)		taxon
22361751	Maiden & Blakely	1928		In: J. Roy. Soc. W. Australia 13: 27, pl. 19, figs 10--15 (1928)		taxon
22361752	Maslin	1999		In: Nuytsia 12(3): 345 (1999)		taxon
22361756	F.Muell.	1882		In: S. Sci. Rec. 2(7): 150 (1882)		taxon
22361762	Maslin	1999		In: Nuytsia 12(3): 347 (1999)		taxon
22361763	Maslin	1999		In: Nuytsia 12(3): 348 (1999)		taxon
22361764	Pedley	1980		In: Austrobaileya 1: 279 (1980)		taxon
22361765	Pedley	1978		In: Austrobaileya 1: 213 (1978)		taxon
22361766		1848		In: J. Exped. Trop. Australia 255 (1848)		taxon
22361767	Maiden & Blakely	1928		In: J. Roy. Soc. W. Australia 13: 4, pl. 2, figs 1--6 (1928)		taxon
22361768	Maslin	1982		In: Nuytsia 4: 87, figs 7 & 11 (1982)		taxon
22361769	W.Fitzg.	1904		In: J. W. Austral. Nat. Hist. Soc. 1: 7 (1904)		taxon
22361770	Lindley	1839		In: Sketch Veg. Swan R. xv (1839)		taxon
22361772	A. Chev.	1934		In: Revue Bot. app. Agric. trop. 14: 876 (1934)		taxon
22361773	Benth.	1842		In: London J. Bot. 1: 387 (1842)		taxon
22361774	Willd.	1806		In: Sp. Pl. 4th edn, 4: 1053 (1806)		taxon
22361775	DC.	1825		In: Prodr. 2: 452 (1825)		taxon
22361776	Lindley in T.Mitch.	1838		In: Three Exped. Australia 1st edn, 2: 145 (1838)		taxon
22361778	F.Muell. ex Benth.	1864		In: Fl. Austral. 2: 361 (1864)		taxon
22361779	Maiden & Blakely	1928		In: J. Roy. Soc. W. Australia 13: 26, pl. 18, figs 1--7 (1928)		taxon
22361781	Maiden	1920		In: J. & Proc. Roy. Soc. New South Wales 53: 194, t. 11, figs 11--15 (1920)		taxon
22361784	Maslin	1983		In: Nuytsia 4: 370, figs 2 & 6 (1983)		taxon
22361785	Cheel & M.B. Welch	1932		In: J. & Proc. Roy. Soc. New South Wales 65: 232, tab. 7 & 8 (1932)		taxon
22361786	Benth.	1842		In: London J. Bot. 1: 369 (1842)		taxon
22361787	Pedley	1999		In: Austrobaileya 5(2): 315 (1999)		taxon
22361788	Cunn. ex Don	1832		In: Gen. Hist. 2: 406 (1832)		taxon
22361790	W.Fitzg.	1904		In: J. W. Austral. Nat. Hist. Soc. 1: 11 (1904)		taxon
22361792	Court	1978		In: Nuytsia 2: 170, figs 2 & 4 (1978)		taxon
22361793	Cunn. ex Benth.	1842		In: London J. Bot. 1: 381 (1842)		taxon
22361794		1966		In: W. Austral. Naturalist 10(2): 32 (1966)		taxon
22361795	Cowan & Maslin	1990		In: Nuytsia 7: 191, figs 1K--M (1990)		taxon
22361796	Pedley	1978		In: Austrobaileya 1: 211, fig. 8G (1978)		taxon
22361797	Schinz.	1900		In: Mem. Herb. Boissier 1: 108 (1900)		taxon
22361798	Cunn. ex Benth.	1842		In: London J. Bot. 1: 359 (1842)		taxon
22361799	Maiden	1916		In: J. & Proc. Roy. Soc. New South Wales 49: 476 (1916)		taxon
22361800	Willd.	1806		In: Sp. Pl. 4th edn, 4: 1051 (1806)		taxon
22361801	Tind.	1980		In: Telopea 1: 439, pl. 22 (1980)		taxon
22361802	Cowan & Maslin	1999		In: Nuytsia 12(3): 460 (1999)		taxon
22361803	E.Pritzel	1904		In: Bot. Jahrb. Syst. 35: 298 (1904)		taxon
22361804	Maiden & Blakely	1927		In: J. & Proc. Roy. Soc. New South Wales 60: 179, t. 14, figs 1--5 (1927)		taxon
22361805	Maiden & Blakely	1928		In: J. Roy. Soc. W. Australia 13: 5, pl. 4, figs 1--11 (1928)		taxon
22361806	J.H.Willis	1957		In: Victorian Naturalist 73: 158 (1957)		taxon
22361807	Maiden	1920		In: J. & Proc. Roy. Soc. New South Wales 53: 204, pl. 14, figs 8--16 (1920)		taxon
22361808	Tind.	1966		In: Contr. New South Wales Natl Herb. 4: 19 (1966)		taxon
