nameID,parentNameID,scientificName,scientificNameAuthorship,nameRank,nameUri,isHybrid,genus,specificEpithet,rankIndicator,otherEpithet,subclass,family,acceptance,acceptedNameID,NomenclatureStatusID,NomenclatureStatusName,Symbol
100467,40024470,"Herpetacanthus rubiginosus",Nees,species,http://www.tropicos.org/Name/100467,,Herpetacanthus,rubiginosus,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100468,40026840,"Holographis ilicifolia",Brandegee,species,http://www.tropicos.org/Name/100468,,Holographis,ilicifolia,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100469,40026840,"Holographis parayana",Miranda,species,http://www.tropicos.org/Name/100469,,Holographis,parayana,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100471,40026840,"Holographis tamaulipica","T.F. Daniel",species,http://www.tropicos.org/Name/100471,,Holographis,tamaulipica,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100470,40026840,"Holographis pueblensis","T.F. Daniel",species,http://www.tropicos.org/Name/100470,,Holographis,pueblensis,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100473,40029184,"Hygrophila conferta",Nees,species,http://www.tropicos.org/Name/100473,,Hygrophila,conferta,sp.,,Magnoliidae,Acanthaceae,S,100474,,"No opinion",
100472,40029184,"Hygrophila bayatensis",Urb.,species,http://www.tropicos.org/Name/100472,,Hygrophila,bayatensis,sp.,,Magnoliidae,Acanthaceae,,,,"No opinion",
100474,40029184,"Hygrophila costata","Nees & T. Nees",species,http://www.tropicos.org/Name/100474,,Hygrophila,costata,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100475,100474,"Hygrophila costata var. angustifolia",Nees,variety,http://www.tropicos.org/Name/100475,,Hygrophila,costata,var.,angustifolia,Magnoliidae,Acanthaceae,A,,,"No opinion",
100476,40029184,"Hygrophila guianensis",Nees,species,http://www.tropicos.org/Name/100476,,Hygrophila,guianensis,sp.,,Magnoliidae,Acanthaceae,A,,,"No opinion",
100477,100476,"Hygrophila guianensis var. lithospermoides",Nees,variety,http://www.tropicos.org/Name/100477,,Hygrophila,guianensis,var.,lithospermoides,Magnoliidae,Acanthaceae,,,,"No opinion",
100478,40029184,"Hygrophila helodes",Nees,species,http://www.tropicos.org/Name/100478,,Hygrophila,helodes,sp.,,Magnoliidae,Acanthaceae,S,100474,,"No opinion",
